Angle,wNorm,BestFitCosine
-1.43116998663535,-0.00115919629057187,4.48415444565211e-29
-1.30899693899575,0.00676197836166924,3.71685168694954e-20
-1.22173047639603,0.0191267387944359,3.77668498610675e-16
-1.13446401379631,0.0276275115919629,4.15802777707742e-13
-1.04719755119660,0.0374806800618238,1.08619335984906e-10
-0.959931088596881,0.0197063369397218,1.02181453199766e-08
-0.872664625997165,0.0226043276661515,4.43643520050310e-07
-0.802851455917392,0.0266615146831530,5.78934116996806e-06
-0.698131700797732,0.0297527047913447,0.000147504847503846
-0.610865238198015,0.0341962905718702,0.00135633070317499
-0.523598775598299,0.0353554868624420,0.00855586471945839
-0.436332312998582,0.0446290571870170,0.0385323991310223
-0.349065850398866,0.0519706336939722,0.127594079832289
-0.279252680319093,0.0759273570324575,0.270432065661323
-0.244346095279206,0.284389489953632,0.368575380596811
-0.209439510239320,0.426584234930448,0.481266288306075
-0.174532925199433,0.477782071097373,0.602467039387762
-0.139626340159546,0.810857805255023,0.723463902087826
-0.104719755119660,1,0.833748280592460
-0.0698131700797732,0.986089644513138,0.922444284211515
-0.0349065850398866,0.866885625965997,0.980032279366161
0,0.785548686244204,1
0.0349065850398866,0.814528593508501,0.980032279366161
0.0698131700797732,0.791537867078825,0.922444284211515
0.104719755119660,0.862828438948995,0.833748280592460
0.122173047639603,0.882148377125193,0.780635856102459
0.139626340159546,0.977782071097373,0.723463902087826
0.157079632679490,0.977009273570325,0.663620182837335
0.191986217719376,0.612442040185471,0.541292090512354
0.226892802759263,0.448222565687790,0.423411038877766
0.261799387799149,0.229520865533230,0.317423484806426
0.296705972839036,0.221792890262751,0.227896705952516
0.331612557878923,0.0896445131375580,0.156559405790486
0.366519142918809,0.0523570324574961,0.102806960056862
0.401425727958696,0.0496522411128285,0.0644559980629137
0.436332312998582,0.0448222565687790,0.0385323991310223
0.471238898038469,0.0409582689335394,0.0219309408057413
0.506145483078356,0.0421174652241113,0.0118636264739729
0.541052068118242,0.0378670788253478,0.00608795173124851
0.575958653158129,0.0347758887171561,0.00295716403450308
0.610865238198015,0.0343894899536321,0.00135633070317499
0.645771823237902,0.0311051004636785,0.000585786293979899
0.680678408277789,0.0291731066460587,0.000237484832284022
0.715584993317675,0.0280139103554869,9.00561679128617e-05
0.750491578357562,0.0268547140649150,3.18140568708941e-05
0.785398163397448,0.0255023183925811,1.04220600643493e-05
0.820304748437335,0.0253091190108192,3.14940298374182e-06
0.872664625997165,0.0233771251931994,4.43643520050310e-07
0.959931088596881,0.0202859350850077,1.02181453199766e-08
1.04719755119660,0.0171947449768161,1.08619335984906e-10
1.22173047639603,0.0266615146831530,3.77668498610675e-16
1.30899693899575,0.0171947449768161,3.71685168694954e-20
1.39626340159546,0.00714837712519320,6.80902005580173e-26
1.48352986419518,0,8.39069385743802e-36
1.57079632679490,-0.00193199381761978,0
